condition,layer,k,branch,chain,level,pr
refinement,0,1,deflate_top1,rescue_drone,3,5.843722546856947
refinement,0,1,deflate_top1,rescue_drone,4,5.545861034016961
refinement,0,1,deflate_top1,research_university,0,5.328387938120958
refinement,0,1,deflate_top1,research_university,1,5.606961077683738
refinement,0,1,deflate_top1,research_university,2,5.490113625934023
refinement,0,1,deflate_top1,research_university,3,5.873242260390564
refinement,0,1,deflate_top1,research_university,4,5.449605902317602
refinement,0,2,deflate_top2,apartment_building,0,4.893921658810294
refinement,0,2,deflate_top2,apartment_building,1,5.202179405986431
refinement,0,2,deflate_top2,apartment_building,2,5.906412652295348
refinement,0,2,deflate_top2,apartment_building,3,4.219133693668998
refinement,0,2,deflate_top2,apartment_building,4,4.356292558351079
refinement,0,2,deflate_top2,emergency_vehicle,0,5.788147969724337
refinement,0,2,deflate_top2,emergency_vehicle,1,5.058609199293397
refinement,0,2,deflate_top2,emergency_vehicle,2,5.306457305932393
refinement,0,2,deflate_top2,emergency_vehicle,3,5.659642072082125
refinement,0,2,deflate_top2,emergency_vehicle,4,5.535545244553138
refinement,0,2,deflate_top2,employment_agreement,0,4.685262541343652
refinement,0,2,deflate_top2,employment_agreement,1,5.2450229132425354
refinement,0,2,deflate_top2,employment_agreement,2,5.259228124515689
refinement,0,2,deflate_top2,employment_agreement,3,5.545562485563285
refinement,0,2,deflate_top2,employment_agreement,4,4.33095691657928
refinement,0,2,deflate_top2,forensic_hospital,0,5.837854466533173
refinement,0,2,deflate_top2,forensic_hospital,1,5.068732479891624
refinement,0,2,deflate_top2,forensic_hospital,2,5.752794829193895
refinement,0,2,deflate_top2,forensic_hospital,3,4.901707838342429
refinement,0,2,deflate_top2,forensic_hospital,4,5.199543152927763
refinement,0,2,deflate_top2,graph_database,0,5.521680591260531
refinement,0,2,deflate_top2,graph_database,1,5.488099195821676
refinement,0,2,deflate_top2,graph_database,2,5.242584737407083
refinement,0,2,deflate_top2,graph_database,3,5.063885814829391
refinement,0,2,deflate_top2,graph_database,4,5.302172103677234
refinement,0,2,deflate_top2,hiking_boot,0,5.039747063574661
refinement,0,2,deflate_top2,hiking_boot,1,3.8545991919165
refinement,0,2,deflate_top2,hiking_boot,2,5.440307145956853
refinement,0,2,deflate_top2,hiking_boot,3,5.7576827994055755
refinement,0,2,deflate_top2,hiking_boot,4,4.928400517800778
refinement,0,2,deflate_top2,medical_consent,0,5.600582771703081
refinement,0,2,deflate_top2,medical_consent,1,4.643259221174209
refinement,0,2,deflate_top2,medical_consent,2,5.608507812749707
refinement,0,2,deflate_top2,medical_consent,3,4.4904067181834115
refinement,0,2,deflate_top2,medical_consent,4,4.760831265048303
refinement,0,2,deflate_top2,refugee_shelter,0,5.537476951886552
refinement,0,2,deflate_top2,refugee_shelter,1,5.196832994918962
refinement,0,2,deflate_top2,refugee_shelter,2,5.136244571021526
refinement,0,2,deflate_top2,refugee_shelter,3,5.456466014270007
refinement,0,2,deflate_top2,refugee_shelter,4,5.272736673395934
refinement,0,2,deflate_top2,rescue_drone,0,5.659531954107692
refinement,0,2,deflate_top2,rescue_drone,1,5.4432585698016975
refinement,0,2,deflate_top2,rescue_drone,2,5.831617826272701
refinement,0,2,deflate_top2,rescue_drone,3,5.74885984543986
refinement,0,2,deflate_top2,rescue_drone,4,5.461710296684545
refinement,0,2,deflate_top2,research_university,0,5.190790343626305
refinement,0,2,deflate_top2,research_university,1,5.629624618553336
refinement,0,2,deflate_top2,research_university,2,5.350073399471122
refinement,0,2,deflate_top2,research_university,3,5.737778552086733
refinement,0,2,deflate_top2,research_university,4,5.4167899216865925
refinement,0,3,deflate_top3,apartment_building,0,4.901265217782336
refinement,0,3,deflate_top3,apartment_building,1,5.173008508259983
refinement,0,3,deflate_top3,apartment_building,2,5.920411414382766
refinement,0,3,deflate_top3,apartment_building,3,4.216029566309942
refinement,0,3,deflate_top3,apartment_building,4,4.353936822911957
refinement,0,3,deflate_top3,emergency_vehicle,0,5.794077172948333
refinement,0,3,deflate_top3,emergency_vehicle,1,5.037573858781974
refinement,0,3,deflate_top3,emergency_vehicle,2,5.318009206428012
refinement,0,3,deflate_top3,emergency_vehicle,3,5.645233440207039
refinement,0,3,deflate_top3,emergency_vehicle,4,5.551785425403341
refinement,0,3,deflate_top3,employment_agreement,0,4.663401012433325
refinement,0,3,deflate_top3,employment_agreement,1,5.264449359883212
refinement,0,3,deflate_top3,employment_agreement,2,5.294376039715385
refinement,0,3,deflate_top3,employment_agreement,3,5.545162138217169
refinement,0,3,deflate_top3,employment_agreement,4,4.377516279748538
refinement,0,3,deflate_top3,forensic_hospital,0,5.82957464958037
refinement,0,3,deflate_top3,forensic_hospital,1,5.051333805248176
refinement,0,3,deflate_top3,forensic_hospital,2,5.757728289195269
refinement,0,3,deflate_top3,forensic_hospital,3,4.872034889877703
refinement,0,3,deflate_top3,forensic_hospital,4,5.241482666376585
refinement,0,3,deflate_top3,graph_database,0,5.50977741512684
refinement,0,3,deflate_top3,graph_database,1,5.473489384986033
refinement,0,3,deflate_top3,graph_database,2,5.2371366656787695
refinement,0,3,deflate_top3,graph_database,3,5.052711322846014
refinement,0,3,deflate_top3,graph_database,4,5.291788189419974
refinement,0,3,deflate_top3,hiking_boot,0,5.054463641198261
refinement,0,3,deflate_top3,hiking_boot,1,3.816259575758545
refinement,0,3,deflate_top3,hiking_boot,2,5.3941540073131895
refinement,0,3,deflate_top3,hiking_boot,3,5.729949233397706
refinement,0,3,deflate_top3,hiking_boot,4,4.919619897457793
refinement,0,3,deflate_top3,medical_consent,0,5.585493262320425
refinement,0,3,deflate_top3,medical_consent,1,4.6989514144663564
refinement,0,3,deflate_top3,medical_consent,2,5.649677153974712
refinement,0,3,deflate_top3,medical_consent,3,4.480783108525865
refinement,0,3,deflate_top3,medical_consent,4,4.75612996055725
refinement,0,3,deflate_top3,refugee_shelter,0,5.573130219136119
