condition,layer,k,branch,chain,level,pr
refinement,0,10,deflate_top10,apartment_building,0,4.887961207934439
refinement,0,10,deflate_top10,apartment_building,1,5.060361696346421
refinement,0,10,deflate_top10,apartment_building,2,5.846983452563537
refinement,0,10,deflate_top10,apartment_building,3,4.39780213816217
refinement,0,10,deflate_top10,apartment_building,4,4.34443565958001
refinement,0,10,deflate_top10,emergency_vehicle,0,5.997606886547488
refinement,0,10,deflate_top10,emergency_vehicle,1,4.958218310406125
refinement,0,10,deflate_top10,emergency_vehicle,2,5.319988708797468
refinement,0,10,deflate_top10,emergency_vehicle,3,5.688623478402511
refinement,0,10,deflate_top10,emergency_vehicle,4,5.611019127714598
refinement,0,10,deflate_top10,employment_agreement,0,4.665131429710339
refinement,0,10,deflate_top10,employment_agreement,1,5.220948860669978
refinement,0,10,deflate_top10,employment_agreement,2,5.332710732928854
refinement,0,10,deflate_top10,employment_agreement,3,5.566179386800873
refinement,0,10,deflate_top10,employment_agreement,4,4.303863088000911
refinement,0,10,deflate_top10,forensic_hospital,0,5.6307323976480435
refinement,0,10,deflate_top10,forensic_hospital,1,5.017530053679613
refinement,0,10,deflate_top10,forensic_hospital,2,5.599224803875138
refinement,0,10,deflate_top10,forensic_hospital,3,4.825568223687687
refinement,0,10,deflate_top10,forensic_hospital,4,5.306674328944913
refinement,0,10,deflate_top10,graph_database,0,5.274889419953368
refinement,0,10,deflate_top10,graph_database,1,5.375906177567417
refinement,0,10,deflate_top10,graph_database,2,5.1036931330203
refinement,0,10,deflate_top10,graph_database,3,4.923376951306702
refinement,0,10,deflate_top10,graph_database,4,5.1918872070216135
refinement,0,10,deflate_top10,hiking_boot,0,5.158720240846164
refinement,0,10,deflate_top10,hiking_boot,1,3.717064072455681
refinement,0,10,deflate_top10,hiking_boot,2,5.258265219749737
refinement,0,10,deflate_top10,hiking_boot,3,5.641043384224299
refinement,0,10,deflate_top10,hiking_boot,4,4.883898843215691
refinement,0,10,deflate_top10,medical_consent,0,5.39887694470304
refinement,0,10,deflate_top10,medical_consent,1,4.774534570031857
refinement,0,10,deflate_top10,medical_consent,2,5.542074921862009
refinement,0,10,deflate_top10,medical_consent,3,4.544728633515205
refinement,0,10,deflate_top10,medical_consent,4,4.837903580761624
refinement,0,10,deflate_top10,refugee_shelter,0,5.4366351978078695
refinement,0,10,deflate_top10,refugee_shelter,1,5.1493101678397855
refinement,0,10,deflate_top10,refugee_shelter,2,5.2503230699595305
refinement,0,10,deflate_top10,refugee_shelter,3,5.594077763832819
refinement,0,10,deflate_top10,refugee_shelter,4,5.374695029109717
refinement,0,10,deflate_top10,rescue_drone,0,5.505834969267309
refinement,0,10,deflate_top10,rescue_drone,1,5.556700051412932
refinement,0,10,deflate_top10,rescue_drone,2,5.730030819142298
refinement,0,10,deflate_top10,rescue_drone,3,5.66587508671468
refinement,0,10,deflate_top10,rescue_drone,4,5.535007909424634
refinement,0,10,deflate_top10,research_university,0,5.3783586168722834
refinement,0,10,deflate_top10,research_university,1,5.583320453814425
refinement,0,10,deflate_top10,research_university,2,5.413034217536617
refinement,0,10,deflate_top10,research_university,3,5.700928170002698
refinement,0,10,deflate_top10,research_university,4,5.389441745965789
refinement,0,11,deflate_top11,apartment_building,0,4.6487291783180344
