condition,layer,category,mean_mahalanobis,mean_l2,pair_count
raw,0,exact_translation_diff_language,15.53580093383789,0.4211893081665039,2400
raw,0,same_factor_diff_language,15.70128059387207,0.4260609447956085,25920
raw,0,same_factor_same_language,12.878671646118164,0.26923859119415283,5904
raw,0,same_domain_diff_language,15.774422645568848,0.42752355337142944,77760
raw,0,same_domain_same_language,14.804984092712402,0.2969529926776886,19584
raw,0,different_topic_diff_language,15.796585083007812,0.4290987253189087,518400
raw,0,different_topic_same_language,15.711562156677246,0.32029175758361816,130560
language_residualized,0,exact_translation_diff_language,15.444893836975098,0.30682411789894104,2400
language_residualized,0,same_factor_diff_language,15.614904403686523,0.31091928482055664,25920
language_residualized,0,same_factor_same_language,13.12768840789795,0.26923859119415283,5904
language_residualized,0,same_domain_diff_language,15.695125579833984,0.31279489398002625,77760
language_residualized,0,same_domain_same_language,15.065763473510742,0.2969529926776886,19584
language_residualized,0,different_topic_diff_language,15.71778392791748,0.314863920211792,518400
language_residualized,0,different_topic_same_language,15.95566463470459,0.32029175758361816,130560
top1_deflation,0,exact_translation_diff_language,15.515789031982422,0.3622127175331116,2400
top1_deflation,0,same_factor_diff_language,15.680174827575684,0.3652976453304291,25920
top1_deflation,0,same_factor_same_language,12.938488006591797,0.2681146562099457,5904
top1_deflation,0,same_domain_diff_language,15.755151748657227,0.3669106662273407,77760
top1_deflation,0,same_domain_same_language,14.87096118927002,0.29589250683784485,19584
top1_deflation,0,different_topic_diff_language,15.777121543884277,0.36864712834358215,518400
top1_deflation,0,different_topic_same_language,15.772581100463867,0.3191281259059906,130560
raw,1,exact_translation_diff_language,15.602164268493652,12.456217765808105,2400
raw,1,same_factor_diff_language,15.767724990844727,12.610124588012695,25920
raw,1,same_factor_same_language,13.190256118774414,7.822961807250977,5904
raw,1,same_domain_diff_language,15.860027313232422,12.664655685424805,77760
raw,1,same_domain_same_language,14.817499160766602,8.47409439086914,19584
raw,1,different_topic_diff_language,15.878318786621094,12.729887962341309,518400
raw,1,different_topic_same_language,15.746137619018555,9.198821067810059,130560
language_residualized,1,exact_translation_diff_language,15.523900032043457,8.732806205749512,2400
language_residualized,1,same_factor_diff_language,15.695220947265625,8.915395736694336,25920
language_residualized,1,same_factor_same_language,13.443399429321289,7.822960376739502,5904
language_residualized,1,same_domain_diff_language,15.788025856018066,8.988161087036133,77760
language_residualized,1,same_domain_same_language,15.076208114624023,8.47409439086914,19584
language_residualized,1,different_topic_diff_language,15.805956840515137,9.075302124023438,518400
language_residualized,1,different_topic_same_language,15.996524810791016,9.198821067810059,130560
top1_deflation,1,exact_translation_diff_language,15.585428237915039,10.712894439697266,2400
top1_deflation,1,same_factor_diff_language,15.752230644226074,10.8465576171875,25920
top1_deflation,1,same_factor_same_language,13.254922866821289,7.801554203033447,5904
top1_deflation,1,same_domain_diff_language,15.842933654785156,10.907320022583008,77760
top1_deflation,1,same_domain_same_language,14.879968643188477,8.452912330627441,19584
top1_deflation,1,different_topic_diff_language,15.860662460327148,10.978896141052246,518400
top1_deflation,1,different_topic_same_language,15.808667182922363,9.175559997558594,130560
raw,2,exact_translation_diff_language,15.59326457977295,15.511941909790039,2400
raw,2,same_factor_diff_language,15.772302627563477,16.048383712768555,25920
raw,2,same_factor_same_language,13.223937034606934,10.412826538085938,5904
