condition,layer,category,mean_cosine,mean_l2,pair_count
raw,0,exact_translation_diff_language,0.2136562019586563,0.4211893081665039,2400
raw,0,same_factor_diff_language,0.2043846845626831,0.4260609447956085,25920
raw,0,same_factor_same_language,0.6806774139404297,0.26923859119415283,5904
raw,0,same_domain_diff_language,0.1992088407278061,0.42752355337142944,77760
raw,0,same_domain_same_language,0.6128975749015808,0.2969529926776886,19584
raw,0,different_topic_diff_language,0.19433164596557617,0.4290987253189087,518400
raw,0,different_topic_same_language,0.5568627119064331,0.32029175758361816,130560
language_residualized,0,exact_translation_diff_language,0.04230193421244621,0.30682411789894104,2400
language_residualized,0,same_factor_diff_language,0.020210379734635353,0.31091928482055664,25920
language_residualized,0,same_factor_same_language,0.2646254599094391,0.26923859119415283,5904
language_residualized,0,same_domain_diff_language,0.008802894502878189,0.31279489398002625,77760
language_residualized,0,same_domain_same_language,0.1009393185377121,0.2969529926776886,19584
language_residualized,0,different_topic_diff_language,-0.002228222321718931,0.314863920211792,518400
language_residualized,0,different_topic_same_language,-0.03062327392399311,0.32029175758361816,130560
top5_deflation,0,exact_translation_diff_language,0.03234236314892769,0.30160537362098694,2400
top5_deflation,0,same_factor_diff_language,0.012523365207016468,0.3049015998840332,25920
top5_deflation,0,same_factor_same_language,0.2596040964126587,0.2637973725795746,5904
top5_deflation,0,same_domain_diff_language,0.0010190507164224982,0.3067529499530792,77760
top5_deflation,0,same_domain_same_language,0.09092108905315399,0.29191720485687256,19584
top5_deflation,0,different_topic_diff_language,-0.001321955118328333,0.3073054254055023,518400
top5_deflation,0,different_topic_same_language,-0.02682632766664028,0.312124103307724,130560
raw,1,exact_translation_diff_language,0.9362002611160278,12.456217765808105,2400
raw,1,same_factor_diff_language,0.9351087212562561,12.610124588012695,25920
raw,1,same_factor_same_language,0.9747662544250488,7.822961807250977,5904
raw,1,same_domain_diff_language,0.9345845580101013,12.664655685424805,77760
raw,1,same_domain_same_language,0.9703481793403625,8.47409439086914,19584
raw,1,different_topic_diff_language,0.9340329766273499,12.729887962341309,518400
raw,1,different_topic_same_language,0.9655081629753113,9.198821067810059,130560
language_residualized,1,exact_translation_diff_language,0.07067282497882843,8.732806205749512,2400
language_residualized,1,same_factor_diff_language,0.02947167307138443,8.915395736694336,25920
language_residualized,1,same_factor_same_language,0.24595926702022552,7.822960376739502,5904
language_residualized,1,same_domain_diff_language,0.014006640762090683,8.988161087036133,77760
language_residualized,1,same_domain_same_language,0.10912550985813141,8.47409439086914,19584
language_residualized,1,different_topic_diff_language,-0.0031780798453837633,9.075302124023438,518400
language_residualized,1,different_topic_same_language,-0.030427690595388412,9.198821067810059,130560
top5_deflation,1,exact_translation_diff_language,0.04515914246439934,8.572592735290527,2400
top5_deflation,1,same_factor_diff_language,0.01959333010017872,8.668601989746094,25920
top5_deflation,1,same_factor_same_language,0.24722038209438324,7.566049098968506,5904
